Quantity,UnitPrice,TotalPrice,Cluster
6,2.08,12.48,0
12,2.95,35.400000000000006,0
16,0.83,13.28,0
2,8.5,17.0,0
200,1.65,330.0,0
12,0.85,10.2,0
10,1.65,16.5,0
10,1.65,16.5,0
1,0.55,0.55,0
30,1.65,49.5,0
4,1.65,6.6,0
6,2.1,12.6,0
3,1.25,3.75,0
6,2.95,17.700000000000003,0
10,1.95,19.5,0
100,0.72,72.0,0
12,2.55,30.6,0
3,4.95,14.85,0
2,2.08,4.16,0
1,12.75,12.75,0
48,0.29,13.919999999999998,0
3,4.95,14.85,0
2000,1.69,3380.0,1
1,1.25,1.25,0
2,2.89,5.78,0
24,0.12,2.88,0
10,2.08,20.8,0
12,1.25,15.0,0
6,1.25,7.5,0
1,4.95,4.95,0
12,1.25,15.0,0
24,1.25,30.0,0
10,1.95,19.5,0
1,1.25,1.25,0
24,1.25,30.0,0
6,2.95,17.700000000000003,0
10,0.39,3.9,0
1,4.95,4.95,0
12,0.85,10.2,0
5,1.65,8.25,0
1,9.95,9.95,0
1,5.95,5.95,0
24,1.45,34.8,0
12,1.25,15.0,0
6,3.75,22.5,0
10,1.45,14.5,0
6,4.25,25.5,0
1,1.65,1.65,0
2,2.95,5.9,0
72,0.42,30.24,0
12,0.83,9.96,0
3,2.08,6.24,0
12,1.25,15.0,0
4,9.95,39.8,0
2,4.15,8.3,0
12,5.95,71.4,0
1,1.95,1.95,0
25,0.42,10.5,0
1,1.25,1.25,0
1,16.65,16.65,0
1,0.42,0.42,0
36,2.55,91.8,0
2,1.65,3.3,0
1,12.75,12.75,0
4,1.45,5.8,0
14,1.25,17.5,0
12,0.12,1.44,0
12,0.85,10.2,0
12,0.83,9.96,0
12,1.65,19.8,0
3,5.95,17.85,0
12,0.42,5.04,0
32,2.55,81.6,0
1,3.75,3.75,0
6,2.1,12.6,0
12,2.1,25.200000000000003,0
1,0.39,0.39,0
10,0.85,8.5,0
1,12.75,12.75,0
16,1.25,20.0,0
24,0.42,10.08,0
12,0.39,4.68,0
2,4.25,8.5,0
2,0.85,1.7,0
1,2.08,2.08,0
6,2.1,12.6,0
18,1.95,35.1,0
7,1.25,8.75,0
1,0.83,0.83,0
5,1.65,8.25,0
6,1.45,8.7,0
1,1.25,1.25,0
5,18.0,90.0,0
2,2.08,4.16,0
6,12.75,76.5,0
6,2.95,17.700000000000003,0
24,1.45,34.8,0
12,0.39,4.68,0
2,2.95,5.9,0
12,0.59,7.08,0
12,1.95,23.4,0
1,2.95,2.95,0
3,4.95,14.85,0
1,1.45,1.45,0
6,5.95,35.7,0
10,1.65,16.5,0
8,3.75,30.0,0
12,0.79,9.48,0
72,0.25,18.0,0
2,2.08,4.16,0
8,4.25,34.0,0
10,1.65,16.5,0
2,0.55,1.1,0
6,2.95,17.700000000000003,0
12,2.1,25.200000000000003,0
1,2.55,2.55,0
12,0.85,10.2,0
8,3.95,31.6,0
1,2.46,2.46,0
2,4.25,8.5,0
1,1.65,1.65,0
20,1.65,33.0,0
2,0.79,1.58,0
16,0.83,13.28,0
12,0.42,5.04,0
48,0.29,13.919999999999998,0
12,2.1,25.200000000000003,0
3,0.85,2.55,0
12,7.65,91.8,0
1,2.1,2.1,0
2,1.65,3.3,0
12,1.25,15.0,0
3,5.95,17.85,0
10,2.08,20.8,0
4,4.25,17.0,0
12,1.25,15.0,0
1,15.79,15.79,0
12,1.95,23.4,0
4,2.1,8.4,0
12,2.95,35.400000000000006,0
10,1.65,16.5,0
4,0.85,3.4,0
2,11.95,23.9,0
24,3.95,94.8,0
6,2.95,17.700000000000003,0
25,0.42,10.5,0
2,6.75,13.5,0
6,2.55,15.3,0
36,0.39,14.04,0
3,2.95,8.850000000000001,0
1,2.25,2.25,0
12,1.25,15.0,0
12,7.65,91.8,0
2,3.25,6.5,0
12,0.39,4.68,0
6,1.65,9.9,0
6,1.95,11.7,0
4,3.75,15.0,0
2,7.5,15.0,0
12,0.85,10.2,0
4,2.95,11.8,0
3,2.55,7.649999999999999,0
1,4.25,4.25,0
5,0.65,3.25,0
8,1.95,15.6,0
12,0.65,7.800000000000001,0
24,0.42,10.08,0
1,4.25,4.25,0
1,2.95,2.95,0
48,0.29,13.919999999999998,0
4,0.85,3.4,0
2,2.55,5.1,0
6,1.65,9.9,0
5,1.25,6.25,0
2,1.45,2.9,0
1,0.83,0.83,0
2,4.95,9.9,0
9,4.95,44.55,0
4,0.29,1.16,0
6,1.25,7.5,0
8,1.69,13.52,0
4,3.75,15.0,0
3,5.95,17.85,0
12,0.42,5.04,0
2,4.25,8.5,0
4,2.95,11.8,0
6,1.95,11.7,0
1,2.1,2.1,0
1,4.25,4.25,0
3,2.95,8.850000000000001,0
4,3.75,15.0,0
3,2.95,8.850000000000001,0
12,0.42,5.04,0
1,1.25,1.25,0
10,1.65,16.5,0
3,0.42,1.26,0
2,0.85,1.7,0
48,0.39,18.72,0
6,2.55,15.3,0
4,1.65,6.6,0
