antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'RED WOOLLY HOTTIE WHITE HEART.', 'WHITE HANGING HEART T-LIGHT HOLDER'})",frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.06521739130434782,0.10869565217391304,0.05434782608695652,0.8333333333333334,7.666666666666667,1.0,0.04725897920604915,5.347826086956522,0.9302325581395349,0.45454545454545453,0.8130081300813008,0.6666666666666667
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'KNITTED UNION FLAG HOT WATER BOTTLE'})",frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),0.06521739130434782,0.12771739130434784,0.05434782608695652,0.8333333333333334,6.524822695035461,1.0,0.04601843100189036,5.233695652173914,0.9058139534883721,0.3921568627450979,0.8089304257528558,0.6294326241134751
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.07065217391304347,0.07608695652173914,0.057065217391304345,0.8076923076923077,10.615384615384615,1.0,0.05168950850661625,4.804347826086957,0.9746588693957114,0.6363636363636365,0.7918552036199095,0.7788461538461537
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.07608695652173914,0.07065217391304347,0.057065217391304345,0.7499999999999999,10.615384615384615,1.0,0.05168950850661625,3.7173913043478244,0.9803921568627451,0.6363636363636365,0.7309941520467835,0.7788461538461537
"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER RED RETROSPOT'})",frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.07880434782608696,0.1793478260869565,0.057065217391304345,0.7241379310344827,4.037617554858934,1.0,0.04293182892249527,2.9748641304347814,0.8166877370417194,0.2837837837837838,0.6638501941082438,0.5211598746081504
"frozenset({'RED WOOLLY HOTTIE WHITE HEART.', 'KNITTED UNION FLAG HOT WATER BOTTLE'})",frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.07608695652173914,0.1766304347826087,0.05434782608695652,0.7142857142857142,4.043956043956043,1.0,0.04090855387523629,2.8817934782608687,0.8147058823529412,0.273972602739726,0.6529938708156529,0.510989010989011
frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),0.10869565217391304,0.12771739130434784,0.07608695652173914,0.7000000000000001,5.480851063829787,1.0,0.0622046313799622,2.9076086956521743,0.9172473867595821,0.47457627118644075,0.6560747663551404,0.647872340425532
"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER RED RETROSPOT'})",frozenset({'HAND WARMER OWL DESIGN'}),0.08423913043478261,0.16304347826086957,0.057065217391304345,0.6774193548387096,4.154838709677419,1.0,0.04333057655954631,2.594565217391304,0.8291649003815175,0.3,0.6145789694176792,0.5137096774193548
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.16304347826086957,0.1793478260869565,0.10597826086956522,0.65,3.6242424242424245,1.0,0.07673676748582231,2.34472049689441,0.8651348651348653,0.4482758620689656,0.5735099337748345,0.6204545454545455
"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER BIRD DESIGN'})",frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.08423913043478261,0.1793478260869565,0.05434782608695652,0.6451612903225806,3.5972629521016617,1.0,0.039239721172022686,2.3127470355731226,0.7884272997032641,0.2597402597402597,0.5676137577440717,0.47409579667644186
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.08152173913043478,0.1766304347826087,0.051630434782608696,0.6333333333333333,3.585641025641025,1.0,0.0372312145557656,2.2455533596837944,0.7851136717533479,0.25000000000000006,0.5546754675467546,0.46282051282051284
frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.10869565217391304,0.1766304347826087,0.06521739130434782,0.6,3.3969230769230765,1.0,0.04601843100189036,2.058423913043478,0.7916666666666669,0.29629629629629634,0.5141914191419141,0.48461538461538456
frozenset({'HAND WARMER RED RETROSPOT'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.14130434782608695,0.1793478260869565,0.08423913043478261,0.5961538461538461,3.324009324009324,1.0,0.05889650283553875,2.0320910973084887,0.8142098815843202,0.3563218390804598,0.5078960774325012,0.532925407925408
frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.12771739130434784,0.10869565217391304,0.07608695652173914,0.5957446808510638,5.480851063829787,1.0,0.0622046313799622,2.2048054919908466,0.9372496662216289,0.47457627118644075,0.5464452516865594,0.647872340425532
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.1793478260869565,0.16304347826086957,0.10597826086956522,0.5909090909090909,3.6242424242424245,1.0,0.07673676748582231,2.0458937198067635,0.882322975038207,0.4482758620689656,0.5112160566706022,0.6204545454545455
"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER BIRD DESIGN'})",frozenset({'HAND WARMER OWL DESIGN'}),0.09239130434782608,0.16304347826086957,0.05434782608695652,0.5882352941176471,3.607843137254902,1.0,0.039284026465028356,2.032608695652174,0.7964071856287426,0.27027027027027023,0.5080213903743316,0.4607843137254902
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.15760869565217392,0.1793478260869565,0.09239130434782608,0.5862068965517241,3.2685475444096133,1.0,0.06412452741020794,1.983242753623188,0.8239089184060722,0.37777777777777777,0.49577529116236574,0.5506792058516197
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.13043478260869565,0.16032608695652173,0.07608695652173914,0.5833333333333334,3.638418079096046,1.0,0.05517485822306239,2.015217391304348,0.8339285714285715,0.35443037974683544,0.5037756202804747,0.5289548022598871
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.09510869565217392,0.09782608695652174,0.05434782608695652,0.5714285714285714,5.841269841269841,1.0,0.04504371455576559,2.1050724637681157,0.9159159159159159,0.3921568627450979,0.5249569707401033,0.5634920634920635
frozenset({'SET 7 BABUSHKA NESTING BOXES'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.09239130434782608,0.1766304347826087,0.051630434782608696,0.5588235294117647,3.1638009049773754,1.0,0.03531131852551985,1.8663043478260872,0.7535455404979514,0.2375,0.46418171228887595,0.42556561085972855
frozenset({'HAND WARMER RED RETROSPOT'}),frozenset({'HAND WARMER OWL DESIGN'}),0.14130434782608695,0.16304347826086957,0.07880434782608696,0.5576923076923077,3.4205128205128204,1.0,0.055765595463138,1.8922495274102078,0.8240942819729377,0.3493975903614458,0.4715284715284716,0.5205128205128206
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.09782608695652174,0.09510869565217392,0.05434782608695652,0.5555555555555555,5.84126984126984,1.0,0.04504371455576559,2.0360054347826084,0.9186746987951807,0.3921568627450979,0.508842175508842,0.5634920634920635
"frozenset({'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER OWL DESIGN'})",frozenset({'HAND WARMER RED RETROSPOT'}),0.10597826086956522,0.14130434782608695,0.057065217391304345,0.5384615384615384,3.8106508875739644,1.0,0.04209002835538752,1.8605072463768115,0.8250108554059922,0.3,0.4625121713729309,0.47115384615384615
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.15760869565217392,0.16304347826086957,0.08423913043478261,0.5344827586206896,3.2781609195402295,1.0,0.05854206049149338,1.797906602254428,0.8249739854318417,0.3563218390804598,0.44379758172861616,0.525574712643678
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER BIRD DESIGN'}),0.16304347826086957,0.15760869565217392,0.08423913043478261,0.5166666666666666,3.2781609195402295,1.0,0.05854206049149338,1.74287856071964,0.8303309593632175,0.3563218390804598,0.42623655913978487,0.525574712643678
